id,label,parent_ids,common_names,technical_name,short_description,function,location,triggers,upper_lower,sort_order,icon,is_active,source_type,is_scorable,is_default,is_advanced
ARMS,Arms,[],"[""Arms"",""Upper Arm"",""Biceps and Triceps""]",Brachium et Antebrachium,The muscles of the upper limb responsible for elbow and wrist movement.,Flexion and extension of the elbow and wrist joints.,"Upper limb, from the shoulder joint down to the wrist.",Bending or straightening the elbows; gripping or curling.,"[""UPPER""]",0,,TRUE,seed,FALSE,TRUE,FALSE
BICEPS,Biceps,"[""ARMS""]","[""Biceps"",""Front Arm"",""Bicep Peak""]",Biceps Brachii,The primary pulling muscles of the upper arm.,Flexing the elbow and supinating the forearm.,Anterior portion of the upper arm.,Curling weights upward; underhand pulling.,"[""UPPER""]",1,,TRUE,seed,TRUE,TRUE,FALSE
BICEP_INNER,Inner Bicep,"[""BICEPS""]","[""Inner Bicep"",""Short Head"",""Bicep Thickness""]",Caput Breve Bicipitis,The inner head adding width and mass to the arm.,Elbow flexion and forceful supination.,The medial (inner) side of the anterior upper arm.,"Preacher curls, wide grips, and elbows in front of the torso.","[""UPPER""]",2,,TRUE,seed,TRUE,TRUE,FALSE
BICEP_OUTER,Outer Bicep,"[""BICEPS""]","[""Outer Bicep"",""Long Head"",""Bicep Peak""]",Caput Longum Bicipitis,The outer head responsible for the bicep peak.,"Elbow flexion and forearm supination, especially when stretched.",The lateral (outer) side of the anterior upper arm.,Curls performed with elbows behind the torso or with a narrow grip.,"[""UPPER""]",3,,TRUE,seed,TRUE,TRUE,FALSE
BRACHIALIS,Brachialis,"[""BICEPS""]","[""Brachialis"",""Deep Arm"",""Arm Thickener""]",Brachialis,"A deep muscle that pushes the bicep up, making the arm look thicker.","Pure elbow flexion, regardless of forearm rotation.","Deep beneath the lower bicep, bridging to the forearm.",Hammer curls and reverse curls.,"[""UPPER""]",4,,TRUE,seed,TRUE,TRUE,FALSE
FOREARMS,Forearms,"[""ARMS""]","[""Forearms"",""Lower Arm"",""Grip Muscles""]",Antebrachium,The muscles controlling the wrist and grip.,"Wrist flexion, extension, and finger gripping.","The lower arm, between the elbow and the wrist.","Heavy gripping, holding static weight, or wrist curls.","[""UPPER""]",5,,TRUE,seed,TRUE,TRUE,FALSE
FOREARM_BOTTOM,Bottom Forearm,"[""FOREARMS""]","[""Bottom Forearm"",""Forearm Flexors"",""Wrist Flexors""]",Musculi Flexores Carpi,The muscles responsible for crushing grip strength.,Flexing the wrist and closing the fingers tightly.,The palmar (bottom) side of the lower arm.,"Wrist curls, heavy deadlifts, and farmer's carries.","[""UPPER""]",6,,TRUE,seed,TRUE,TRUE,FALSE
FOREARM_OUTER,Outer Forearm,"[""FOREARMS""]","[""Outer Forearm"",""Brachioradialis"",""Hammer Muscle""]",Brachioradialis,A prominent forearm muscle that heavily assists the bicep.,Bending the elbow when the hand is in a neutral or pronated grip.,"The upper, lateral ridge of the forearm, crossing the elbow.",Hammer curls and neutral-grip pull-ups.,"[""UPPER""]",7,,TRUE,seed,TRUE,TRUE,FALSE
FOREARM_TOP,Top Forearm,"[""FOREARMS""]","[""Top Forearm"",""Forearm Extensors""]",Musculi Extensores Carpi,The muscles opening the hand and raising the knuckles.,Extending the wrist and fingers.,The dorsal (top) side of the lower arm.,Reverse curls and wrist extensions.,"[""UPPER""]",8,,TRUE,seed,TRUE,TRUE,FALSE
TRICEPS,Triceps,"[""ARMS""]","[""Triceps"",""Back Arm"",""Horseshoe""]",Triceps Brachii,The primary pushing muscles of the upper arm.,Straightening (extending) the elbow joint.,Posterior portion of the upper arm.,Pressing weight away; extending the arm downward or overhead.,"[""UPPER""]",9,,TRUE,seed,TRUE,TRUE,FALSE
TRICEP_DEEP,Deep Tricep,"[""TRICEPS""]","[""Deep Tricep"",""Medial Head"",""Lower Tricep""]",Caput Mediale Tricipitis,The stabilizing head active in all extension movements.,Base stabilization during elbow extension.,"Deep to the long and lateral heads, near the elbow.",Heavy lockout pressing and strict pushdowns.,"[""UPPER""]",10,,TRUE,seed,TRUE,TRUE,FALSE
TRICEP_INNER,Inner Tricep,"[""TRICEPS""]","[""Inner Tricep"",""Long Head"",""Tricep Mass""]",Caput Longum Tricipitis,"The largest head of the tricep, crossing the shoulder joint.",Elbow extension and shoulder adduction/extension.,"The posterior, medial side of the upper arm, closest to the body.",Overhead extensions or extensions maximizing the stretch.,"[""UPPER""]",11,,TRUE,seed,TRUE,TRUE,FALSE
TRICEP_OUTER,Outer Tricep,"[""TRICEPS""]","[""Outer Tricep"",""Lateral Head"",""Horseshoe""]",Caput Laterale Tricipitis,The highly visible head forming the outside of the horseshoe.,Strong elbow extension.,The lateral (outer) aspect of the posterior upper arm.,Pushdowns or pressing with the arms kept firmly at the sides.,"[""UPPER""]",12,,TRUE,seed,TRUE,TRUE,FALSE
