id,label,parent_id,upper_lower,muscle_targets,default_delta_configs,common_names,short_description,sort_order,icon,is_active,source_type,muscle_grouping_id,is_scorable,is_default,is_advanced,motion_type
CHEST_PRESS,Chest Press,,"[""UPPER""]",,,"[""Chest Press"",""Bench Press"",""Press""]",Horizontal pressing pattern emphasizing the chest.,1,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Umbrella
CHEST_PRESS_FLAT,Flat Chest Press,CHEST_PRESS,"[""UPPER""]",,,"[""Flat Bench Press"",""Flat Press"",""Bench Press""]",Chest press on a flat bench/path.,2,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
CHEST_PRESS_INCLINE,Incline Chest Press,CHEST_PRESS,"[""UPPER""]",,,"[""Incline Bench Press"",""Incline Press""]",Chest press on an incline emphasizing upper chest.,3,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
CHEST_PRESS_DECLINE,Decline Chest Press,CHEST_PRESS,"[""UPPER""]",,,"[""Decline Bench Press"",""Decline Press""]",Chest press on a decline emphasizing lower chest.,4,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
SHOULDER_PRESS,Shoulder Press,,"[""UPPER""]",,,"[""Shoulder Press"",""Overhead Press"",""OHP""]",Vertical pressing pattern emphasizing the deltoids.,5,,TRUE,admin,SHOULDERS,TRUE,TRUE,FALSE,Standard
CHEST_FLY,Chest Fly,,"[""UPPER""]",,,"[""Chest Fly"",""Pec Fly"",""Fly""]",Horizontal adduction pattern emphasizing the chest.,6,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Umbrella
CHEST_FLY_FLAT,Flat Chest Fly,CHEST_FLY,"[""UPPER""]",,,"[""Flat Fly"",""Dumbbell Fly"",""Cable Fly (Flat)""]",Fly on a flat bench/path emphasizing mid chest.,7,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
CHEST_FLY_INCLINE,Incline Chest Fly,CHEST_FLY,"[""UPPER""]",,,"[""Incline Fly"",""Incline Dumbbell Fly""]",Fly on an incline emphasizing upper chest.,8,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
CHEST_FLY_DECLINE,Decline Chest Fly,CHEST_FLY,"[""UPPER""]",,,"[""Decline Fly""]",Fly on a decline emphasizing lower chest.,9,,TRUE,admin,CHEST,TRUE,TRUE,FALSE,Standard
TRICEP_EXTENSION,Triceps Extension,,"[""UPPER""]",,,"[""Triceps Extension"",""Tricep Extension""]",Elbow-extension isolation for the triceps.,10,,TRUE,admin,TRICEPS,TRUE,TRUE,FALSE,Umbrella
TRICEP_EXTENSION_OVERHEAD,Overhead Triceps Extension,TRICEP_EXTENSION,"[""UPPER""]",,,"[""Overhead Triceps Extension"",""Overhead Extension""]",Triceps extension performed overhead.,11,,TRUE,admin,TRICEPS,TRUE,TRUE,FALSE,Standard
TRICEP_EXTENSION_PUSHDOWN,Triceps Pushdown,TRICEP_EXTENSION,"[""UPPER""]",,,"[""Triceps Pushdown"",""Cable Pushdown""]",Triceps extension pushing a handle downward.,12,,TRUE,admin,TRICEPS,TRUE,TRUE,FALSE,Standard
DIP,Dip,,"[""UPPER""]",,,"[""Dip"",""Parallel Bar Dip""]",Pressing body upward on bars emphasizing chest/triceps.,13,,TRUE,admin,TRICEPS,TRUE,TRUE,FALSE,Standard
